,Instructor,Department,Rcmnd Instr,Average Grade Expected,Classes Taught,Enrolled
323,"Campion, Camille E",Communication,94.43333333333334,3.7966666666666664,3.0,55.0
324,"Muria, Magali",Communication,88.89999999999999,3.6233333333333335,3.0,63.0
325,"Kovacs, Andras Balint",Communication,61.0,3.34,2.0,86.0
326,"Hallin, Daniel C",other,96.11999999999999,3.3299999999999996,5.0,138.0
327,"Ridlen, Timothy Michael",other,80.85,3.4749999999999996,4.0,96.0
328,"Whitworth-Smith, Andrew C",Communication,98.96666666666665,3.4949999999999997,6.0,268.0
329,"Kidman, Shawna F",Communication,98.5,3.6933333333333334,3.0,139.0
330,"Iatarola, Briana Marie",Communication,93.75,3.745,2.0,51.0
331,"Dubee, Alex William",Communication,98.0,3.63,2.0,127.0
332,"Pezzoli, Keith",other,88.44999999999999,3.5924999999999994,4.0,136.0
333,"Simmons, Candice G",Communication,91.65,4.0,2.0,44.0
334,"Hickman, Louise",Communication,100.0,3.7,2.0,32.0
335,"Fields, Gary",Communication,94.43333333333334,3.5199999999999996,3.0,101.0
336,"Cortes, Diego M",Communication,90.975,3.7675,4.0,165.0
337,"Anderson, Patrick W.",Communication,95.98,3.822,5.0,459.0
338,"Guarrasi, Ivana",Communication,98.76,3.746,5.0,162.0
339,"Alac, Morana",Communication,100.0,3.6199999999999997,3.0,106.0
340,"Hartouni, Valerie A",Communication,94.45,3.525,2.0,43.0
341,"Sims, Christopher O",Communication,94.43333333333334,3.686666666666667,3.0,88.0
342,"Bush, Barbara Ann",other,79.9,3.3899999999999997,2.0,178.0
343,"Collins, Caroline Imani",Communication,100.0,3.83,1.0,26.0
344,"Gluzman, Ellen Yelena",Communication,100.0,3.545,2.0,26.0
345,"Dewey, Matthew D",Communication,100.0,3.0,1.0,17.0
346,"Walton, Jonathan Douglas",Communication,100.0,3.8,1.0,32.0
347,"McKenna, Denise",Communication,77.8,3.4,1.0,33.0
348,"Gates, Kelly",Communication,76.55,3.38,2.0,319.0
349,"Halm, Gavin Patrick",Communication,100.0,3.93,1.0,38.0
350,"Ahn, Patricia Jeehyun",Communication,100.0,3.88,2.0,46.0
351,"Simon Salazar, Harry Love",Communication,66.65,3.885,2.0,42.0
352,"Tanaka, Stefan A.",Communication,50.633333333333326,2.953333333333333,3.0,82.0
353,"Vasquez, Olga A.",Communication,68.425,3.8825,4.0,105.0
354,"Lee, Nancy Stark",Communication,81.3,3.47,1.0,36.0
355,"Burg, Suzanne M.M.",other,82.2,3.3625000000000003,4.0,87.0
356,"Horwitz, Robert B",Communication,92.85,3.325,2.0,48.0
357,"Zilberg, Elana",Communication,53.55,3.2,2.0,37.0
358,"Dominguez Rubio, Fernando",Communication,94.1,3.47,1.0,22.0
359,"Serlin, David",Communication,74.6,3.2249999999999996,2.0,312.0
360,"Randolph, Edward Gordon",Communication,75.0,3.33,1.0,14.0
361,"Cordoba Azcarate, Matilde",Communication,91.9,3.615,2.0,41.0
362,"Conner, Thomas Hartnell",Communication,100.0,3.45,1.0,22.0
363,"Porter, Leonard Emerson",Computer Science,96.75,3.2924999999999995,4.0,866.0
364,"Sahoo, Debashis",Computer Science,74.1,3.27,1.0,129.0
365,"Ochoa, Benjamin Lawrence",Computer Science,84.76666666666667,3.33,3.0,433.0
366,"Freund, Yoav",Computer Science,49.1,3.26,1.0,144.0
367,"Jones, Miles E",Computer Science,88.02857142857144,3.235714285714286,7.0,1068.0
368,"Bellare, Mihir",Computer Science,74.85,2.615,2.0,101.0
369,"Ord, Richard",Computer Science,85.41666666666664,3.358333333333334,6.0,1171.0
370,"Weibel, Nadir",Computer Science,85.7,3.29,1.0,15.0
371,"Allos, Haytham Issa",Computer Science,83.2,3.27,2.0,243.0
372,"Zaitsev, Anna L",Computer Science,82.8,3.395,2.0,242.0
373,"Zhou, Yuan-Yuan",Computer Science,88.5,3.3449999999999998,2.0,213.0
374,"Snoeren, Alex C.",Computer Science,94.6,3.14,1.0,108.0
375,"Savage, Stefan",Computer Science,95.85,3.265,2.0,338.0
376,"Lerner, Sorin",Computer Science,99.4,3.59,1.0,174.0
377,"Jhala, Ranjit",Computer Science,98.4,3.505,2.0,236.0
378,"Vianu, Victor Dan",Computer Science,77.05,3.13,2.0,316.0
379,"Powell, Thomas Allan",Computer Science,89.85,3.17,4.0,369.0
380,"Chin, Bryan W.",Computer Science,86.2,3.19,1.0,134.0
381,"Eldon, John",other,89.56000000000002,3.5050000000000003,10.0,1108.0
382,"Swanson, Steven James",Computer Science,89.45,3.6725000000000003,4.0,168.0
383,"Alvarado, Christine J.",Computer Science,98.62,3.622,5.0,657.0
384,"Su, Hao",Computer Science,81.3,3.38,1.0,56.0
385,"McAuley, Julian John",Computer Science,82.3,3.36,1.0,357.0
386,"Schulze, Jurgen P.",Computer Science,97.43333333333334,3.89,3.0,172.0
387,"Paturi, Ramamohan",Computer Science,83.3,3.82,1.0,19.0
388,"Bandeira, Nuno Filipe Cabrita",Computer Science,100.0,3.25,1.0,15.0
389,"Kumar, Rakesh",other,97.17142857142856,3.7157142857142853,7.0,230.0
390,"Cosman, Benjamin Leverett",Computer Science,87.1,3.29,1.0,74.0
391,"Bach, Quang Tran",other,94.53333333333332,3.2983333333333333,6.0,1285.0
392,"Cao, Yingjun",Computer Science,94.2909090909091,3.3145454545454545,11.0,1222.0
393,"Miranda, Gregory Joseph",Computer Science,94.75,3.5700000000000003,2.0,89.0
394,"Politz, Joseph Gibbs",Computer Science,96.37142857142855,3.567142857142857,7.0,867.0
395,"Fraenkel, Aaron Mcmillan",Computer Science,100.0,4.0,1.0,21.0
396,"Braun, Oliver",Computer Science,93.9,3.42,2.0,77.0
397,"Cyranka, Jacek",Computer Science,100.0,3.82,1.0,31.0
398,"Marx, Susan S",Computer Science,56.699999999999996,3.353333333333333,6.0,634.0
399,"Pasquale, Joseph",Computer Science,99.475,3.5975,4.0,383.0
400,"Nguyen, Hau Cao",Computer Science,40.95,3.3075,4.0,764.0
401,"Papadopoulos, Philip Micha",Computer Science,82.1,3.04,2.0,312.0
402,"Voelker, Geoffrey M.",Computer Science,98.45,3.7199999999999998,2.0,222.0
403,"Porter, George M",Computer Science,86.3,3.38,1.0,175.0
404,"Gantman, Alexander",Computer Science,80.0,3.0,1.0,45.0
405,"Polikarpova, Nadezhda",Computer Science,73.6,3.02,1.0,173.0
406,"Deutsch, Alin Bernard",Computer Science,59.1,3.33,1.0,61.0
407,"Cheng, Chung Kuan",Computer Science,81.85,3.585,2.0,320.0
408,"Chu, Isaac Y",Computer Science,76.46666666666667,3.633333333333333,3.0,596.0
409,"Orailoglu, Alex",Computer Science,43.5,2.96,1.0,35.0
410,"Tullsen, Dean Michael",Computer Science,100.0,3.67,1.0,9.0
411,"Saul, Lawrence",Computer Science,100.0,3.38,1.0,120.0
412,"Chaudhuri, Kamalika",Computer Science,96.1,3.44,1.0,181.0
413,"Altintas De Callaf, Ilkay",Computer Science,89.7,3.4333333333333336,3.0,417.0
414,"Ramamoorthi, Ravi",Computer Science,96.2,3.56,1.0,35.0
415,"Riek, Laurel D",Computer Science,100.0,4.0,1.0,24.0
416,"Gymrek, Melissa Ann",Computer Science,94.1,3.47,1.0,108.0
417,"Kumar, Arun Kumar",Computer Science,100.0,3.29,1.0,19.0
418,"Tiefenbruck, Janine LoBue",Computer Science,100.0,3.45,2.0,64.0
419,"Chandraker, Manmohan Krishna",Computer Science,33.3,3.5,1.0,35.0
420,"Barr, Iris",Computer Science,76.3,3.76,1.0,44.0
421,"Micciancio, Daniele",Computer Science,78.15,3.315,2.0,253.0
422,"Kahng, Andrew Byun",Computer Science,67.9,2.83,1.0,254.0
423,"Griswold, William G.",Computer Science,81.0,3.5,1.0,203.0
424,"Shacham, Hovav",Computer Science,95.7,3.0,1.0,55.0
425,"Stefan, Deian",Computer Science,82.5,2.99,1.0,132.0
426,"Rosing, Tajana Simunic",Computer Science,94.7,3.5,1.0,141.0
427,"Zhao, Jishen",Computer Science,80.4,3.31,1.0,123.0
428,"Kastner, Ryan Charles",Computer Science,100.0,3.75,1.0,17.0
429,"Gao, Sicun",Computer Science,96.3,3.56,1.0,185.0
430,"Rotenberg, Steven Paul",Computer Science,100.0,3.69,1.0,32.0
431,"Nakashole, Ndapandula",Computer Science,62.5,3.71,1.0,74.0
432,"Vardy, Alexander",other,84.80000000000001,3.0199999999999996,3.0,714.0
433,"Papakonstantinou, Yannis",Computer Science,100.0,4.0,1.0,11.0
434,"Solomon, Amanda Lee Albaniel",other,96.32499999999999,3.4725,4.0,859.0
435,"Strom, Megan C.",Dimensions of Culture,86.95,3.3225000000000002,4.0,1129.0
436,"Johnston, Emily Ronay",Dimensions of Culture,95.9,3.29,1.0,127.0
437,"Pass, Natalye Joann",Dimensions of Culture,90.85714285714286,3.707142857142857,7.0,170.0
438,"Ho, Lisa",other,91.1,3.505714285714286,7.0,665.0
439,"Sievenpiper, Daniel F.",Electrical & Computer Eng.,98.0,3.115,2.0,168.0
440,"Siegel, Paul H.",Electrical & Computer Eng.,95.1,3.17,1.0,127.0
441,"Hall, Drew A.",Electrical & Computer Eng.,95.3,3.536,5.0,504.0
442,"Ng, Tse Nga",Electrical & Computer Eng.,81.6,3.365,2.0,65.0
443,"Lomakin, Vitaliy",Electrical & Computer Eng.,86.73333333333333,3.3433333333333337,3.0,130.0
444,"Zeger, Kenneth A.",Electrical & Computer Eng.,88.95,3.02,2.0,168.0
445,"Koushanfar, Farinaz",Electrical & Computer Eng.,54.3,3.4,1.0,42.0
446,"Esmaili, Gholamreza",Electrical & Computer Eng.,94.05000000000001,3.29,4.0,164.0
447,"Kuzum, Duygu",Electrical & Computer Eng.,100.0,3.3733333333333335,3.0,81.0
448,"Unpingco, Jose H.",Electrical & Computer Eng.,85.63333333333333,3.73,3.0,303.0
449,"Phan, Alex Minh Giang",Electrical & Computer Eng.,100.0,3.4433333333333334,3.0,66.0
450,"Hildebrand, John A",other,95.1,3.6399999999999997,2.0,127.0
451,"Javidi, Tara",Electrical & Computer Eng.,86.03333333333335,3.0666666666666664,3.0,55.0
452,"Milstein, Laurence B.",Electrical & Computer Eng.,100.0,3.375,2.0,20.0
453,"Franceschetti, Massimo",Electrical & Computer Eng.,90.65,3.46,2.0,95.0
454,"Khoshabeh, Ramsin",Electrical & Computer Eng.,95.775,3.39,4.0,122.0
455,"Rao, Bhaskar D.",Electrical & Computer Eng.,90.0,2.63,1.0,66.0
456,"Rebeiz, Gabriel",Electrical & Computer Eng.,100.0,3.57,1.0,63.0
457,"Sworder, David D.",Electrical & Computer Eng.,86.9,3.38,2.0,143.0
458,"Pal, Piya",Electrical & Computer Eng.,44.0,2.32,1.0,95.0
459,"Abi Samra, Nicholas Camill",Electrical & Computer Eng.,95.11999999999999,3.8019999999999996,5.0,196.0
460,"Liu, Zhaowei",Electrical & Computer Eng.,96.9,3.3449999999999998,2.0,83.0
461,"Cosman, Pamela C.",Electrical & Computer Eng.,87.5,3.375,2.0,54.0
462,"Quest, Kevin B",Electrical & Computer Eng.,97.35,3.4,2.0,148.0
463,"Taur, Yuan",Electrical & Computer Eng.,75.55,3.45,2.0,147.0
464,"Schurgers, Curt",Electrical & Computer Eng.,94.4,2.86,1.0,146.0
465,"Lugannani, Robert",Electrical & Computer Eng.,82.26666666666667,3.5666666666666664,3.0,557.0
466,"Gilja, Vikash",Electrical & Computer Eng.,95.9,3.69,1.0,180.0
467,"Nguyen, Truong Quang",other,98.58333333333333,3.7716666666666665,6.0,461.0
468,"Baghdadchi, Saharnaz",Electrical & Computer Eng.,91.24,3.246,5.0,449.0
469,"Shevchenko, Valentin I",Electrical & Computer Eng.,76.65,3.035,2.0,60.0
470,"Silberman, Jack",other,100.0,3.872,5.0,69.0
471,"Morris, Karcher William",Electrical & Computer Eng.,100.0,3.9,1.0,50.0
472,"Touri, Behrouz",Electrical & Computer Eng.,86.9,3.18,1.0,146.0
473,"Lin, Bill",Electrical & Computer Eng.,97.925,3.7024999999999997,4.0,223.0
474,"Yip, Michael",Electrical & Computer Eng.,100.0,3.47,1.0,21.0
475,"Dayeh, Shadi Ahmad",Electrical & Computer Eng.,87.5,3.5,2.0,29.0
476,"Gessner, Richard K.",Electrical & Computer Eng.,96.42500000000001,3.4325,4.0,149.0
477,"Zhang, Xinyu",Electrical & Computer Eng.,100.0,4.0,1.0,7.0
478,"Harris, Frederick Joel",Electrical & Computer Eng.,76.9,3.15,1.0,44.0
479,"Levy, Cooper Sinclair",Electrical & Computer Eng.,87.0,2.87,1.0,27.0
480,"Kreutz-Delgado, Kenneth",Electrical & Computer Eng.,100.0,3.75,1.0,29.0
481,"Ford, Joseph Earl",Electrical & Computer Eng.,96.95,3.395,2.0,119.0
482,"Das, Pankaj K",Electrical & Computer Eng.,66.7,3.8,1.0,35.0
483,"Tu, Charles",Electrical & Computer Eng.,50.0,3.8,1.0,35.0
484,"Mir Arabbaygi, Siavash",Electrical & Computer Eng.,91.8,3.31,1.0,142.0
485,"Radic, Stojan",Electrical & Computer Eng.,71.4,2.71,1.0,77.0
486,"Kante, Boubacar",Electrical & Computer Eng.,91.1,3.07,2.0,106.0
487,"Das, Nikhil Ranjan",Electrical & Computer Eng.,87.5,3.5,1.0,11.0
488,"Ling, Patrick L",Electrical & Computer Eng.,100.0,4.0,1.0,7.0
489,"Mercier, Patrick Philip",Electrical & Computer Eng.,100.0,3.14,1.0,20.0
490,"Trivedi, Mohan M.",Electrical & Computer Eng.,83.9,3.24,1.0,94.0
491,"Vasconcelos, Nuno",Electrical & Computer Eng.,76.7,3.07,1.0,105.0
492,"Mookherjea, Shayan",Electrical & Computer Eng.,83.3,2.83,1.0,19.0
493,"Fainman, Yeshaiahu",Electrical & Computer Eng.,100.0,3.17,1.0,11.0
494,"Dey, Sujit",Electrical & Computer Eng.,90.0,3.24,1.0,134.0
495,"Tocoian, Oana",Economics,78.85,3.26,2.0,495.0
496,"Nieto-Barthaburu, Augusto",Economics,84.4,3.575,4.0,563.0
497,"Famulari, Melissa",Economics,91.61666666666666,3.296666666666667,6.0,901.0
498,"Machina, Mark Joseph",Economics,100.0,4.0,2.0,24.0
499,"Levkoff, Steven B.",other,91.95714285714287,3.1464285714285714,14.0,1601.0
500,"Sinitsyn, Maxim",Economics,86.19000000000001,3.2779999999999996,10.0,971.0
501,"Andreoni, James",Economics,85.2,3.8833333333333333,3.0,62.0
502,"Bloom, Patrick Roll",Economics,59.4,3.3,2.0,333.0
503,"Muendler, Marc",Economics,71.23333333333333,3.34,3.0,447.0
504,"Watson, Joel Christopher",Economics,90.95,3.185,2.0,233.0
505,"Candido, Maria Teresa",Economics,93.9875,3.4474999999999993,8.0,1284.0
506,"Rondina, Giacomo",Economics,96.55,3.3683333333333327,6.0,214.0
507,"Lagakos, David P.",Economics,100.0,3.58,1.0,118.0
508,"Foster, Carroll Baldwin",Economics,73.51666666666667,3.3049999999999997,6.0,718.0
509,"O, Mun Pyung",Economics,83.9,3.435,10.0,1087.0
510,"Beare, Brendan",Economics,100.0,3.57,1.0,17.0
511,"Tang, Yuan Emily",Economics,100.0,3.56,1.0,65.0
512,"Jacobsen, Mark",Economics,89.9,3.39,1.0,298.0
513,"Clemens, Jeffrey",other,100.0,3.6550000000000002,2.0,27.0
514,"Betts, Julian",Economics,96.1,3.43,1.0,101.0
515,"Newhouse, Herbert S",Economics,88.55555555555556,3.43,9.0,1239.0
516,"Ramey, Garey",Economics,82.89999999999999,3.5666666666666664,3.0,259.0
517,"Yu, Chu",Economics,95.15,3.7249999999999996,2.0,157.0
518,"Wuthrich, Kaspar",Economics,93.96666666666665,3.3233333333333337,3.0,391.0
519,"Blumkin, Tomer",Economics,95.0,3.2,2.0,47.0
520,"Ray, Kevin Daniel",Economics,100.0,3.43,1.0,75.0
521,"Squires, Dale E",Economics,97.7,3.49,2.0,341.0
522,"Santamaria, Martin I",Economics,92.89999999999999,3.5500000000000003,6.0,1125.0
523,"Anderson, John Charles",other,95.13749999999999,3.4724999999999997,8.0,353.0
524,"Hovander, Elisa Wynne Kirsten",Economics,81.8,3.335,2.0,90.0
525,"Noel, Michael",Economics,95.45,3.165,2.0,48.0
526,"Hilmer, Christiana",Economics,97.6,3.4400000000000004,2.0,83.0
527,"Hilmer, Michael",Economics,100.0,3.44,2.0,34.0
528,"Fairchild, Stephanie Kate",Economics,66.7,3.5,1.0,11.0
529,"Lu, Runjing",other,91.2,3.465,2.0,50.0
530,"Mateer, George Dirk",Economics,95.5,3.48,3.0,653.0
531,"Boomhower, Judson P",Economics,85.0,3.37,1.0,69.0
532,"Bowen, T. Renee",Economics,100.0,3.29,1.0,11.0
533,"Wieland, Johannes Friedrich",Economics,95.85,3.54,2.0,227.0
534,"Tayman, Jeff",Economics,86.7,3.19,1.0,50.0
535,"Antonovics, Kate L.",Economics,95.25,3.415,2.0,337.0
536,"Bharadwaj, Prashant",other,90.3,3.44,3.0,189.0
537,"Naughton, Barry J",Economics,84.0,3.38,1.0,166.0
538,"Kaushik, Arushi",other,78.55,3.35,2.0,14.0
539,"Brown, Alyssa Ashleigh",other,92.85,3.05,2.0,17.0
540,"Goodman, Zachary Aaron",other,100.0,3.5,2.0,15.0
541,"Suong, Clara Haeseung",Economics,100.0,4.0,1.0,6.0
542,"Navajas Ahumada, Camila Eugen",other,80.0,3.125,2.0,15.0
543,"Rhee, Dennis",other,87.5,3.5,2.0,17.0
544,"Oklobdzija, Stan",other,100.0,3.71,2.0,14.0
545,"Vanvuren, Mitchell Scott",Economics,100.0,3.33,1.0,4.0
546,"Somers, Jackson Chandler",Economics,100.0,3.86,1.0,9.0
547,"Rauch, James E",Economics,77.94999999999999,3.245,2.0,226.0
548,"Trevino, Isabel",Economics,100.0,4.0,1.0,6.0
549,"Porzio, Tommaso",Economics,86.26666666666667,3.5533333333333332,3.0,320.0
550,"Hamilton, James D.",Economics,92.4,3.38,2.0,243.0
551,"Dahl, Gordon B.",Economics,83.96666666666667,3.48,3.0,367.0
552,"Carson, Richard T",Economics,78.9,3.36,1.0,125.0
553,"Cohen, Darrel Steven",Economics,95.7,3.23,1.0,138.0
554,"Fadlon, Yizhak",Economics,100.0,3.46,1.0,41.0
555,"Muralidharan, Karthik",Economics,100.0,3.58,1.0,74.0
556,"Cullen, Julie",Economics,100.0,4.0,1.0,10.0
557,"Ramey, Valerie A",Economics,78.5,3.42,2.0,422.0
558,"Xu, Yiqing",other,87.5,3.385,2.0,65.0
559,"Dean, Dallawrence Edward",Education Studies,93.04285714285713,3.757142857142857,7.0,579.0
560,"Gallagher-Geurtsen, Tricia Meghan",other,100.0,3.783333333333333,3.0,170.0
561,"Chung, Luz Marina",other,99.25,3.8225000000000002,4.0,240.0
562,"Rodriguez, Victoria Calip",other,92.25,3.765,2.0,120.0
563,"Jones, Makeba",other,98.46000000000001,3.7760000000000007,5.0,218.0
564,"Simon, Elizabeth A",Education Studies,99.0,3.8939999999999997,5.0,177.0
565,"Allen, Bobbie M",Education Studies,97.9,3.98,1.0,55.0
566,"Binder, Amy",other,100.0,3.1100000000000003,2.0,19.0
567,"Millstone, Rachel Diana",Education Studies,100.0,3.86,1.0,48.0
568,"Holtzman, Caren Lynn",Education Studies,100.0,3.815,2.0,89.0
569,"Wishard Guerra, Alison G.",Education Studies,94.7,3.81,1.0,43.0
570,"Drake, Kristy Nicole",Education Studies,97.9,3.7350000000000003,2.0,79.0
571,"Hofstetter, Carolyn",Education Studies,98.30000000000001,3.9575,8.0,218.0
572,"Heinzman, Erica M.",Education Studies,100.0,3.893333333333333,3.0,84.0
573,"Cohen, Shana R",Education Studies,87.85,3.77,2.0,76.0
574,"Lockton, Marie",Education Studies,100.0,3.94,1.0,47.0
575,"Hopkins, Megan Beth",Education Studies,100.0,3.88,1.0,59.0
576,"Van Steenbergen, Suzanne Michele",other,95.57499999999999,3.79,4.0,206.0
577,"Pappas, Elizabeth",Education Studies,93.3,4.0,1.0,27.0
578,"Scharton, Susan Michelle",Education Studies,100.0,3.9,1.0,48.0
579,"Whiteside, Linda Sue",Education Studies,100.0,3.875,2.0,33.0
580,"Mamas, Christoforos",Education Studies,100.0,4.0,1.0,7.0
581,"Chapman, Thandeka K",Education Studies,100.0,3.82,1.0,53.0
582,"Contreras, Frances E.",Education Studies,95.5,3.7,1.0,38.0
583,"Orozco, Agustin",Education Studies,100.0,4.0,1.0,24.0
584,"Munoz Sanchez, Alicia",other,98.64000000000001,3.6159999999999997,5.0,129.0
585,"Forbes, Cheryl A",Education Studies,94.4,3.94,1.0,41.0
586,"Bresser, Bernard George",Education Studies,100.0,3.91,1.0,25.0
587,"Black, Alison Michelle",Education Studies,100.0,4.0,1.0,52.0
588,"Lu, Charles",Education Studies,91.6,3.25,2.0,83.0
589,"Harel, Guershon",other,79.56666666666666,3.1155555555555554,9.0,337.0
590,"Henter, Heather J.",Environmental Studies,91.65,3.515,2.0,44.0
591,"Shaheen, Robina",Environmental Studies,40.9,3.42,1.0,142.0
592,"Talley, Theresa S.",Environmental Studies,100.0,3.67,1.0,18.0
593,"Herbst, Matthew",other,97.8,3.755,10.0,594.0
594,"Ochoa, Edward Henry",Environmental Studies,94.4,3.23,1.0,63.0
595,"Taylor, Jennifer Rebecca",other,95.45,3.535,2.0,161.0
596,"Teranes, Jane",other,98.32857142857144,3.617142857142857,7.0,401.0
597,"Minster, Jean Bernard H.",other,90.15,3.49,2.0,143.0
598,"Russell, Lynn M.",Environmental Systems,88.6,3.31,1.0,113.0
599,"Espiritu, Yen",Ethnic Studies,87.55000000000001,3.3899999999999997,2.0,406.0
600,"Kharputly, Nadeen Sh B",Ethnic Studies,100.0,3.7483333333333335,6.0,130.0
601,"Montesinos, Jorge Roberto",other,82.85,3.5999999999999996,2.0,130.0
602,"Patel, Shaista",Ethnic Studies,100.0,3.6,1.0,14.0
603,"Nicolazzo, Sarah E.",other,100.0,3.482,5.0,149.0
604,"Daly, Heather Marie",Ethnic Studies,75.0,3.67,1.0,28.0
605,"Blaise, Jean G",other,98.33,3.7309999999999994,10.0,248.0
606,"Kozen, Cathleen Kiyomi",Ethnic Studies,55.0,3.53,1.0,56.0
607,"Garcia Hernandez, Yessica",Ethnic Studies,100.0,3.83,1.0,23.0
608,"Quintanilla, Leslie Jocelyn",Ethnic Studies,94.7,3.56,1.0,31.0
609,"Hidalgo, Melissa Martha",other,82.67999999999999,3.3400000000000007,5.0,86.0
610,"Padilla, Omar",Ethnic Studies,100.0,3.76,1.0,28.0
611,"Yang, K. Wayne",other,98.05,3.885,2.0,143.0
612,"Marez, Curtis F.",Ethnic Studies,83.35,3.755,2.0,93.0
613,"De Leon, Justin",Ethnic Studies,99.05,3.82,4.0,178.0
614,"Blanco, John D",other,77.66666666666667,3.4966666666666666,3.0,201.0
615,"Williams, Robert Zachary",other,100.0,3.785,2.0,34.0
616,"Suzuki, Erin M.",other,100.0,3.6283333333333334,6.0,300.0
617,"Davis, Anthony Curtis",other,56.25,3.23,2.0,116.0
618,"Alomar, Maisam",Ethnic Studies,100.0,3.29,1.0,13.0
619,"Burelle, Julie Sara Veronique",other,96.48571428571428,3.481428571428571,7.0,234.0
